角度,3500,25000
60,-43.13,-76.2
60.01,-43.15,-76.43
60.02,-43.15,-76.43
60.03,-43.16,-76.18
60.04,-43.14,-76.12
60.05,-43.14,-76.32
60.07,-43.13,-76.32
60.08,-43.13,-75.75
60.1,-43.28,-77.31
60.13,-43.39,-76.75
60.15,-43.39,-75.73
60.18,-43.39,-75.73
60.19,-43.67,-75.73
60.23,-43.73,-74.91
60.26,-43.89,-74.87
60.3,-44.14,-74.87
60.33,-44.14,-76.3
60.38,-44.58,-77.45
60.4,-44.58,-77.45
60.45,-44.81,-75.52
60.49,-45.1,-75.31
60.54,-45.4,-75.8
60.6,-45.76,-75.8
60.62,-46.11,-75.92
60.67,-46.11,-75.92
60.73,-46.39,-74.81
60.79,-46.89,-74.7
60.84,-47.29,-74.01
60.9,-47.62,-74.01
60.96,-48.02,-74.88
61.03,-48.02,-74.88
61.06,-48.46,-75.73
61.13,-48.83,-75.89
61.2,-49.11,-75.43
61.28,-49.4,-75.43
61.36,-49.4,-75.08
61.41,-49.48,-75.08
61.49,-49.51,-74.36
61.58,-49.36,-74.3
61.67,-49.02,-75.34
61.76,-49.02,-75.34
61.79,-48.55,-74.62
61.89,-47.97,-74.62
61.98,-47.39,-76.1
62.08,-46.79,-74.96
62.18,-46.79,-74.95
62.29,-45.37,-74.95
62.35,-44.75,-75.63
62.46,-44.75,-75.63
62.57,-44.16,-75.73
62.61,-43.5,-75.71
62.72,-42.97,-75.06
62.84,-42.52,-75.06
62.96,-42.11,-75.13
63.08,-42.11,-75.13
63.15,-41.67,-74.64
63.27,-41.3,-75
63.4,-41,-74.55
63.53,-40.75,-74.55
63.66,-40.75,-76.29
63.71,-40.52,-76.29
63.85,-40.34,-76.01
63.99,-40.24,-75.02
64.12,-40.17,-74.76
64.27,-40.17,-74.76
64.35,-40.17,-73.96
64.5,-40.22,-73.96
64.56,-40.32,-73.99
64.79,-40.46,-73.33
64.85,-40.46,-72.82
65,-41.01,-72.82
65.14,-41.01,-73.7
65.23,-41.32,-73.7
65.38,-41.67,-74.04
65.58,-42.23,-73.66
65.67,-42.84,-74.09
65.82,-43.5,-73.9
65.96,-44.24,-73.9
66.11,-44.24,-73.9
66.17,-45.43,-74.19
66.32,-46.6,-74.79
66.46,-47.8,-74.61
66.61,-49.31,-74.61
66.76,-49.31,-74.59
66.84,-51.37,-74.59
66.99,-53.29,-74.72
67.14,-54.62,-75.06
67.2,-54.71,-75.77
67.43,-54.71,-75.77
67.58,-51.07,-75.14
